StockCode,Description,desc_stockcode
17012C,2,Duplicated
17012D,1,Unduplicated
17012E,1,Unduplicated
17012F,2,Duplicated
17013A,0,Unduplicated
17013B,1,Unduplicated
17013C,2,Duplicated
17013D,1,Unduplicated
17013E,0,Unduplicated
17013F,1,Unduplicated
17014A,1,Unduplicated
17014B,0,Unduplicated
17014C,1,Unduplicated
17014D,1,Unduplicated
17014E,1,Unduplicated
17014F,1,Unduplicated
17017,0,Unduplicated
17021,1,Unduplicated
17027A,2,Duplicated
17028J,1,Unduplicated
17033,3,Duplicated
17038,1,Unduplicated
17039,1,Unduplicated
17061,1,Unduplicated
17084A,1,Unduplicated
17084F,0,Unduplicated
17084G,1,Unduplicated
17084J,1,Unduplicated
17084N,1,Unduplicated
17084P,1,Unduplicated
17084R,1,Unduplicated
17090A,1,Unduplicated
17090D,1,Unduplicated
17091A,2,Duplicated
17091B,1,Unduplicated
17091F,1,Unduplicated
17091J,1,Unduplicated
17096,1,Unduplicated
17107D,3,Duplicated
17108D,2,Duplicated
17109A,1,Unduplicated
17109B,2,Duplicated
17109C,1,Unduplicated
17109D,2,Duplicated
17120,0,Unduplicated
17129C,2,Duplicated
17129D,2,Duplicated
17129F,3,Duplicated
17136A,2,Duplicated
17160,0,Unduplicated
17164B,1,Unduplicated
17164D,1,Unduplicated
17165B,1,Unduplicated
17165D,1,Unduplicated
17174,1,Unduplicated
17178,1,Unduplicated
17181,1,Unduplicated
17191A,1,Unduplicated
18007,1,Unduplicated
18010,1,Unduplicated
18033,0,Unduplicated
18094A,0,Unduplicated
18094C,2,Duplicated
18096B,0,Unduplicated
18096C,1,Unduplicated
18096c,1,Unduplicated
18097A,1,Unduplicated
18097B,1,Unduplicated
18097C,1,Unduplicated
18098A,1,Unduplicated
18098B,1,Unduplicated
18098C,1,Unduplicated
18098c,1,Unduplicated
20615,2,Duplicated
20616,1,Unduplicated
20617,1,Unduplicated
20618,1,Unduplicated
20619,1,Unduplicated
20620,1,Unduplicated
20621,1,Unduplicated
20622,2,Duplicated
20652,3,Duplicated
20653,1,Unduplicated
20654,1,Unduplicated
20655,1,Unduplicated
20657,1,Unduplicated
20658,2,Duplicated
20659,1,Unduplicated
20660,1,Unduplicated
20661,2,Duplicated
20662,1,Unduplicated
20663,1,Unduplicated
20664,1,Unduplicated
20665,4,Duplicated
20666,1,Unduplicated
20667,1,Unduplicated
20668,1,Unduplicated
20669,1,Unduplicated
20670,1,Unduplicated
20671,1,Unduplicated
20672,1,Unduplicated
20673,1,Unduplicated
20674,2,Duplicated
20675,2,Duplicated
20676,2,Duplicated
20677,2,Duplicated
20678,1,Unduplicated
20679,2,Duplicated
20680,1,Unduplicated
20681,3,Duplicated
20682,2,Duplicated
20683,1,Unduplicated
20684,1,Unduplicated
20685,4,Duplicated
20686,1,Unduplicated
20688,1,Unduplicated
20689,1,Unduplicated
20690,0,Unduplicated
20691,0,Unduplicated
20692,2,Duplicated
20693,1,Unduplicated
20694,2,Duplicated
20695,1,Unduplicated
20696,1,Unduplicated
20697,1,Unduplicated
20698,1,Unduplicated
20699,1,Unduplicated
20700,2,Duplicated
20701,1,Unduplicated
20702,1,Unduplicated
20703,1,Unduplicated
20704,1,Unduplicated
20705,1,Unduplicated
20707,1,Unduplicated
20710,0,Unduplicated
20711,3,Duplicated
20712,2,Duplicated
20713,9,Duplicated
20714,2,Duplicated
20715,1,Unduplicated
20716,1,Unduplicated
20717,1,Unduplicated
20718,2,Duplicated
20719,1,Unduplicated
20720,0,Unduplicated
20721,1,Unduplicated
20723,1,Unduplicated
20724,2,Duplicated
20725,2,Duplicated
20726,1,Unduplicated
20727,1,Unduplicated
20728,1,Unduplicated
20729,1,Unduplicated
20730,1,Unduplicated
20731,1,Unduplicated
20733,1,Unduplicated
20734,1,Unduplicated
20735,1,Unduplicated
20736,1,Unduplicated
20737,1,Unduplicated
20738,2,Duplicated
20739,1,Unduplicated
20743,0,Unduplicated
20747,1,Unduplicated
20748,2,Duplicated
20749,1,Unduplicated
20750,3,Duplicated
20751,2,Duplicated
20752,3,Duplicated
20753,1,Unduplicated
20754,3,Duplicated
20755,1,Unduplicated
20756,1,Unduplicated
20757,1,Unduplicated
20758,1,Unduplicated
20759,1,Unduplicated
20760,1,Unduplicated
20761,1,Unduplicated
20762,1,Unduplicated
20763,1,Unduplicated
20764,1,Unduplicated
20765,1,Unduplicated
20766,1,Unduplicated
20767,1,Unduplicated
20768,1,Unduplicated
20769,1,Unduplicated
20770,1,Unduplicated
20771,1,Unduplicated
20772,1,Unduplicated
20773,1,Unduplicated
20774,2,Duplicated
20775,1,Unduplicated
20776,1,Unduplicated
20777,1,Unduplicated
20778,1,Unduplicated
20779,1,Unduplicated
20780,1,Unduplicated
20781,1,Unduplicated
20782,1,Unduplicated
20783,1,Unduplicated
20784,1,Unduplicated
20785,1,Unduplicated
20786,2,Duplicated
20787,2,Duplicated
20791,1,Unduplicated
20793,1,Unduplicated
20794,1,Unduplicated
20795,1,Unduplicated
20796,1,Unduplicated
20798,2,Duplicated
20799,2,Duplicated
20800,1,Unduplicated
20801,1,Unduplicated
20802,1,Unduplicated
20803,2,Duplicated
20804,1,Unduplicated
20812,1,Unduplicated
20814,1,Unduplicated
20816,1,Unduplicated
20818,1,Unduplicated
20819,1,Unduplicated
20820,2,Duplicated
20821,2,Duplicated
20822,1,Unduplicated
20823,1,Unduplicated
20824,0,Unduplicated
20825,2,Duplicated
20826,1,Unduplicated
20827,2,Duplicated
20828,1,Unduplicated
20829,1,Unduplicated
20830,2,Duplicated
20831,1,Unduplicated
20832,2,Duplicated
20833,1,Unduplicated
20835,1,Unduplicated
20836,1,Unduplicated
20837,1,Unduplicated
20838,1,Unduplicated
20839,2,Duplicated
20840,2,Duplicated
20844,0,Unduplicated
20845,1,Unduplicated
20846,1,Unduplicated
20847,1,Unduplicated
20848,1,Unduplicated
20849,1,Unduplicated
20850,1,Unduplicated
20851,1,Unduplicated
20852,2,Duplicated
20854,1,Unduplicated
20855,1,Unduplicated
20856,2,Duplicated
20857,1,Unduplicated
20858,1,Unduplicated
20859,0,Unduplicated
20860,1,Unduplicated
20861,1,Unduplicated
20862,1,Unduplicated
20863,1,Unduplicated
20864,1,Unduplicated
20865,1,Unduplicated
20866,2,Duplicated
20867,2,Duplicated
20868,1,Unduplicated
20869,1,Unduplicated
20870,1,Unduplicated
20871,1,Unduplicated
20877,1,Unduplicated
20878,1,Unduplicated
20879,1,Unduplicated
20880,0,Unduplicated
20881,1,Unduplicated
20882,1,Unduplicated
20883,0,Unduplicated
20884,1,Unduplicated
20885,1,Unduplicated
20886,1,Unduplicated
20887,1,Unduplicated
20888,1,Unduplicated
20889,1,Unduplicated
20890,1,Unduplicated
20891,1,Unduplicated
20892,1,Unduplicated
20893,3,Duplicated
20894,1,Unduplicated
20895,1,Unduplicated
20896,1,Unduplicated
20897,1,Unduplicated
20898,2,Duplicated
20899,1,Unduplicated
20900,0,Unduplicated
20901,1,Unduplicated
20902,2,Duplicated
20903,1,Unduplicated
20904,0,Unduplicated
20905,1,Unduplicated
20906,1,Unduplicated
20910,1,Unduplicated
20911,0,Unduplicated
20913,1,Unduplicated
20914,3,Duplicated
20931,1,Unduplicated
20932,1,Unduplicated
20933,1,Unduplicated
20934,1,Unduplicated
20935,1,Unduplicated
20936,1,Unduplicated
20937,0,Unduplicated
20938,0,Unduplicated
20939,1,Unduplicated
20940,1,Unduplicated
20941,1,Unduplicated
20942,1,Unduplicated
20943,1,Unduplicated
20944,0,Unduplicated
20946,0,Unduplicated
20950,1,Unduplicated
20951,0,Unduplicated
20952,1,Unduplicated
20953,1,Unduplicated
20954,1,Unduplicated
20955,0,Unduplicated
20956,3,Duplicated
20957,1,Unduplicated
20958,1,Unduplicated
20959,0,Unduplicated
20960,1,Unduplicated
20961,1,Unduplicated
20963,1,Unduplicated
20964,1,Unduplicated
20965,0,Unduplicated
20966,1,Unduplicated
20967,2,Duplicated
20968,1,Unduplicated
20969,1,Unduplicated
20970,1,Unduplicated
20971,1,Unduplicated
20972,1,Unduplicated
20973,1,Unduplicated
20974,1,Unduplicated
20975,2,Duplicated
20976,1,Unduplicated
20977,1,Unduplicated
20978,1,Unduplicated
20979,2,Duplicated
20980,1,Unduplicated
20981,1,Unduplicated
20982,1,Unduplicated
20983,2,Duplicated
20984,3,Duplicated
20985,1,Unduplicated
20986,1,Unduplicated
20987,1,Unduplicated
20988,1,Unduplicated
20989,1,Unduplicated
20990,1,Unduplicated
20991,1,Unduplicated
20992,1,Unduplicated
20993,1,Unduplicated
20994,1,Unduplicated
20995,0,Unduplicated
20996,1,Unduplicated
20997,1,Unduplicated
20998,1,Unduplicated
21000,1,Unduplicated
21001,1,Unduplicated
21002,1,Unduplicated
21003,1,Unduplicated
21004,2,Duplicated
21005,0,Unduplicated
21007,2,Duplicated
21008,1,Unduplicated
21009,1,Unduplicated
21010,1,Unduplicated
21011,1,Unduplicated
21012,1,Unduplicated
21014,2,Duplicated
21015,1,Unduplicated
21016,1,Unduplicated
21017,1,Unduplicated
21018,3,Duplicated
21019,0,Unduplicated
21020,0,Unduplicated
21021,0,Unduplicated
21022,0,Unduplicated
21023,0,Unduplicated
21024,0,Unduplicated
21025,1,Unduplicated
21026,1,Unduplicated
21027,1,Unduplicated
21028,1,Unduplicated
21029,0,Unduplicated
21030,1,Unduplicated
21031,1,Unduplicated
21032,1,Unduplicated
21033,2,Duplicated
21034,1,Unduplicated
21035,2,Duplicated
21036,1,Unduplicated
21038,1,Unduplicated
21039,2,Duplicated
21040,1,Unduplicated
21041,3,Duplicated
21042,2,Duplicated
21043,1,Unduplicated
21047,0,Unduplicated
21048,0,Unduplicated
21051,3,Duplicated
21052,0,Unduplicated
21053,1,Unduplicated
21054,1,Unduplicated
21055,1,Unduplicated
21056,1,Unduplicated
21057,0,Unduplicated
21058,1,Unduplicated
21059,1,Unduplicated
21060,1,Unduplicated
21061,1,Unduplicated
21062,1,Unduplicated
21063,1,Unduplicated
21064,1,Unduplicated
21065,1,Unduplicated
21066,1,Unduplicated
21067,1,Unduplicated
21068,1,Unduplicated
21069,1,Unduplicated
21070,1,Unduplicated
21071,2,Duplicated
21076,1,Unduplicated
21077,1,Unduplicated
21078,1,Unduplicated
21080,2,Duplicated
21081,1,Unduplicated
21082,2,Duplicated
21083,0,Unduplicated
21084,1,Unduplicated
21085,1,Unduplicated
21086,1,Unduplicated
21087,1,Unduplicated
21088,1,Unduplicated
21089,2,Duplicated
21090,2,Duplicated
21091,1,Unduplicated
21092,2,Duplicated
21094,1,Unduplicated
21095,1,Unduplicated
21096,1,Unduplicated
21097,1,Unduplicated
21098,3,Duplicated
21099,1,Unduplicated
21100,4,Duplicated
21102,1,Unduplicated
21104,0,Unduplicated
21106,1,Unduplicated
21107,1,Unduplicated
21108,1,Unduplicated
21109,3,Duplicated
21110,1,Unduplicated
21111,1,Unduplicated
21112,2,Duplicated
21113,0,Unduplicated
21114,1,Unduplicated
21115,1,Unduplicated
21116,1,Unduplicated
21117,1,Unduplicated
21118,1,Unduplicated
21119,1,Unduplicated
21120,1,Unduplicated
21121,2,Duplicated
21122,2,Duplicated
21123,2,Duplicated
21124,2,Duplicated
21125,1,Unduplicated
21126,1,Unduplicated
21127,1,Unduplicated
21128,1,Unduplicated
21129,1,Unduplicated
21130,2,Duplicated
21131,1,Unduplicated
21132,1,Unduplicated
21133,3,Duplicated
21134,1,Unduplicated
21135,3,Duplicated
21136,2,Duplicated
21137,1,Unduplicated
21143,1,Unduplicated
21144,1,Unduplicated
21145,1,Unduplicated
21146,1,Unduplicated
21147,3,Duplicated
21148,0,Unduplicated
21153,2,Duplicated
21154,3,Duplicated
21155,3,Duplicated
21156,2,Duplicated
21157,2,Duplicated
21158,1,Unduplicated
21159,2,Duplicated
21160,1,Unduplicated
21161,1,Unduplicated
21162,1,Unduplicated
21163,1,Unduplicated
21164,1,Unduplicated
21165,2,Duplicated
21166,2,Duplicated
21167,1,Unduplicated
21169,1,Unduplicated
21170,0,Unduplicated
21171,1,Unduplicated
21172,1,Unduplicated
21173,1,Unduplicated
21174,2,Duplicated
21175,2,Duplicated
21176,0,Unduplicated
21177,0,Unduplicated
21179,2,Duplicated
21181,7,Duplicated
21182,0,Unduplicated
21183,0,Unduplicated
21185,2,Duplicated
21186,1,Unduplicated
21187,1,Unduplicated
21188,1,Unduplicated
21189,1,Unduplicated
21190,1,Unduplicated
21191,1,Unduplicated
21192,3,Duplicated
21193,1,Unduplicated
21194,1,Unduplicated
21195,1,Unduplicated
21196,1,Unduplicated
21197,1,Unduplicated
21198,1,Unduplicated
21199,1,Unduplicated
21200,1,Unduplicated
21201,2,Duplicated
21202,1,Unduplicated
21203,1,Unduplicated
21204,1,Unduplicated
21205,1,Unduplicated
21206,1,Unduplicated
21207,1,Unduplicated
21208,1,Unduplicated
21209,1,Unduplicated
21210,2,Duplicated
21211,1,Unduplicated
21212,2,Duplicated
21213,1,Unduplicated
21214,2,Duplicated
21215,2,Duplicated
21216,2,Duplicated
21217,2,Duplicated
21218,1,Unduplicated
21219,1,Unduplicated
21220,1,Unduplicated
21221,1,Unduplicated
21222,1,Unduplicated
21223,1,Unduplicated
21224,1,Unduplicated
21225,1,Unduplicated
21226,1,Unduplicated
21227,0,Unduplicated
21228,1,Unduplicated
21231,1,Unduplicated
21232,2,Duplicated
21236,0,Unduplicated
21238,2,Duplicated
21239,2,Duplicated
21240,2,Duplicated
21241,2,Duplicated
21242,2,Duplicated
21243,3,Duplicated
21244,2,Duplicated
21245,2,Duplicated
21246,3,Duplicated
21247,1,Unduplicated
21248,1,Unduplicated
21249,2,Duplicated
21250,1,Unduplicated
21251,1,Unduplicated
21252,1,Unduplicated
21253,1,Unduplicated
21254,1,Unduplicated
21255,1,Unduplicated
21256,1,Unduplicated
21257,2,Duplicated
21258,2,Duplicated
21259,1,Unduplicated
21260,1,Unduplicated
21261,1,Unduplicated
21262,1,Unduplicated
21263,1,Unduplicated
21264,1,Unduplicated
21265,1,Unduplicated
21266,1,Unduplicated
21267,1,Unduplicated
21268,1,Unduplicated
21269,1,Unduplicated
21270,1,Unduplicated
21272,2,Duplicated
21273,0,Unduplicated
21274,1,Unduplicated
21275,2,Duplicated
21276,1,Unduplicated
21277,1,Unduplicated
21278,1,Unduplicated
21279,1,Unduplicated
21280,1,Unduplicated
21281,1,Unduplicated
21282,1,Unduplicated
21283,1,Unduplicated
21284,2,Duplicated
21285,2,Duplicated
21286,2,Duplicated
21287,1,Unduplicated
21288,1,Unduplicated
21289,1,Unduplicated
21290,1,Unduplicated
21291,2,Duplicated
21292,1,Unduplicated
21293,1,Unduplicated
21294,2,Duplicated
21295,0,Unduplicated
21298,1,Unduplicated
21299,1,Unduplicated
21300,1,Unduplicated
21301,0,Unduplicated
21303,1,Unduplicated
21304,1,Unduplicated
21306,1,Unduplicated
21307,1,Unduplicated
21308,1,Unduplicated
21309,1,Unduplicated
21310,1,Unduplicated
21311,1,Unduplicated
21312,2,Duplicated
21313,1,Unduplicated
21314,2,Duplicated
21315,1,Unduplicated
21316,1,Unduplicated
21317,1,Unduplicated
21318,1,Unduplicated
21319,2,Duplicated
21320,2,Duplicated
21321,1,Unduplicated
21322,1,Unduplicated
21323,2,Duplicated
21324,1,Unduplicated
21325,0,Unduplicated
21326,1,Unduplicated
21327,1,Unduplicated
21328,1,Unduplicated
21329,1,Unduplicated
21330,2,Duplicated
21331,1,Unduplicated
21332,1,Unduplicated
21333,1,Unduplicated
21335,1,Unduplicated
21336,1,Unduplicated
21337,1,Unduplicated
21338,1,Unduplicated
21339,1,Unduplicated
21340,1,Unduplicated
21341,1,Unduplicated
21342,0,Unduplicated
21343,1,Unduplicated
21344,1,Unduplicated
21345,0,Unduplicated
21346,1,Unduplicated
21347,1,Unduplicated
21348,1,Unduplicated
21349,2,Duplicated
21350,1,Unduplicated
21351,2,Duplicated
21352,2,Duplicated
21353,1,Unduplicated
21354,1,Unduplicated
21355,1,Unduplicated
21356,1,Unduplicated
21357,1,Unduplicated
21358,1,Unduplicated
21359,1,Unduplicated
21360,2,Duplicated
21361,1,Unduplicated
21362,0,Unduplicated
21363,1,Unduplicated
21364,1,Unduplicated
21365,1,Unduplicated
21366,1,Unduplicated
21367,1,Unduplicated
21368,1,Unduplicated
21369,1,Unduplicated
21370,1,Unduplicated
21371,1,Unduplicated
21372,1,Unduplicated
21373,1,Unduplicated
21374,1,Unduplicated
21375,1,Unduplicated
21376,1,Unduplicated
21377,1,Unduplicated
21378,1,Unduplicated
21379,2,Duplicated
21380,1,Unduplicated
21381,1,Unduplicated
21382,1,Unduplicated
21383,1,Unduplicated
21384,1,Unduplicated
21385,1,Unduplicated
21386,1,Unduplicated
21387,1,Unduplicated
21388,1,Unduplicated
21389,1,Unduplicated
21390,1,Unduplicated
21391,3,Duplicated
21392,2,Duplicated
21393,2,Duplicated
21394,3,Duplicated
21395,2,Duplicated
21396,1,Unduplicated
21397,3,Duplicated
21398,3,Duplicated
21399,2,Duplicated
21400,1,Unduplicated
21401,1,Unduplicated
21402,1,Unduplicated
21403,1,Unduplicated
21406,1,Unduplicated
21407,1,Unduplicated
21408,1,Unduplicated
21409,1,Unduplicated
21410,1,Unduplicated
21411,1,Unduplicated
21412,1,Unduplicated
21413,1,Unduplicated
21414,1,Unduplicated
21415,1,Unduplicated
21416,1,Unduplicated
21417,1,Unduplicated
21418,1,Unduplicated
21419,1,Unduplicated
21420,1,Unduplicated
21421,2,Duplicated
21422,1,Unduplicated
21424,2,Duplicated
21425,1,Unduplicated
21426,1,Unduplicated
21427,1,Unduplicated
21428,1,Unduplicated
21429,1,Unduplicated
21430,1,Unduplicated
21431,2,Duplicated
21432,1,Unduplicated
21437,1,Unduplicated
21438,1,Unduplicated
21439,1,Unduplicated
21440,1,Unduplicated
21441,1,Unduplicated
21442,1,Unduplicated
21443,1,Unduplicated
21444,1,Unduplicated
21445,1,Unduplicated
21446,1,Unduplicated
21447,1,Unduplicated
21448,1,Unduplicated
21450,2,Duplicated
21452,1,Unduplicated
21454,1,Unduplicated
21455,1,Unduplicated
21456,1,Unduplicated
21457,1,Unduplicated
21458,1,Unduplicated
21459,1,Unduplicated
21460,1,Unduplicated
21461,1,Unduplicated
21462,1,Unduplicated
21463,3,Duplicated
21464,1,Unduplicated
21465,1,Unduplicated
21466,1,Unduplicated
21467,1,Unduplicated
21468,1,Unduplicated
21469,1,Unduplicated
21470,1,Unduplicated
21471,1,Unduplicated
21472,1,Unduplicated
21473,1,Unduplicated
21474,1,Unduplicated
21475,1,Unduplicated
21476,1,Unduplicated
21477,1,Unduplicated
21478,1,Unduplicated
21479,2,Duplicated
21480,1,Unduplicated
21481,1,Unduplicated
21482,1,Unduplicated
21484,1,Unduplicated
21485,2,Duplicated
21486,1,Unduplicated
21487,0,Unduplicated
21488,1,Unduplicated
21489,1,Unduplicated
21490,1,Unduplicated
21491,1,Unduplicated
21492,0,Unduplicated
21493,3,Duplicated
21494,1,Unduplicated
21495,2,Duplicated
21496,1,Unduplicated
21497,1,Unduplicated
21498,2,Duplicated
21499,2,Duplicated
21500,2,Duplicated
21502,0,Unduplicated
21503,1,Unduplicated
21504,1,Unduplicated
21505,0,Unduplicated
21506,1,Unduplicated
21507,2,Duplicated
21508,1,Unduplicated
21509,1,Unduplicated
21510,0,Unduplicated
21511,1,Unduplicated
21512,0,Unduplicated
21514,0,Unduplicated
21518,1,Unduplicated
21519,2,Duplicated
21520,1,Unduplicated
21523,4,Duplicated
21524,3,Duplicated
21525,1,Unduplicated
21527,3,Duplicated
21528,1,Unduplicated
21529,3,Duplicated
21530,2,Duplicated
21531,2,Duplicated
21532,2,Duplicated
21533,2,Duplicated
21534,1,Unduplicated
21535,2,Duplicated
21536,1,Unduplicated
21537,3,Duplicated
21538,1,Unduplicated
21539,4,Duplicated
21540,3,Duplicated
21541,1,Unduplicated
21542,2,Duplicated
21543,1,Unduplicated
21544,1,Unduplicated
21545,2,Duplicated
21547,1,Unduplicated
21548,1,Unduplicated
21549,1,Unduplicated
21550,1,Unduplicated
21551,1,Unduplicated
21552,1,Unduplicated
21553,1,Unduplicated
21554,1,Unduplicated
21555,1,Unduplicated
21556,1,Unduplicated
21557,1,Unduplicated
21558,2,Duplicated
21559,2,Duplicated
21560,1,Unduplicated
21561,2,Duplicated
21562,1,Unduplicated
21563,1,Unduplicated
21564,1,Unduplicated
21576,1,Unduplicated
21577,1,Unduplicated
21578,3,Duplicated
21579,1,Unduplicated
21580,1,Unduplicated
21581,1,Unduplicated
21582,1,Unduplicated
21583,0,Unduplicated
21584,2,Duplicated
21585,1,Unduplicated
21586,1,Unduplicated
21587,1,Unduplicated
21588,2,Duplicated
21589,1,Unduplicated
21590,1,Unduplicated
21591,2,Duplicated
21592,2,Duplicated
21593,1,Unduplicated
21594,1,Unduplicated
21595,1,Unduplicated
21596,1,Unduplicated
21601,0,Unduplicated
21602,0,Unduplicated
21609,1,Unduplicated
21610,1,Unduplicated
21611,1,Unduplicated
21612,1,Unduplicated
21613,1,Unduplicated
21614,1,Unduplicated
21615,2,Duplicated
21616,1,Unduplicated
21617,1,Unduplicated
21618,2,Duplicated
21619,2,Duplicated
21620,4,Duplicated
21621,4,Duplicated
21622,3,Duplicated
21623,1,Unduplicated
21624,1,Unduplicated
21625,2,Duplicated
21626,1,Unduplicated
21627,2,Duplicated
21628,1,Unduplicated
21629,2,Duplicated
21630,1,Unduplicated
21631,1,Unduplicated
21632,1,Unduplicated
21633,1,Unduplicated
21634,1,Unduplicated
21635,1,Unduplicated
21636,2,Duplicated
21637,1,Unduplicated
21638,1,Unduplicated
21639,1,Unduplicated
21640,1,Unduplicated
21641,1,Unduplicated
21642,2,Duplicated
21643,2,Duplicated
21644,3,Duplicated
21645,1,Unduplicated
21646,0,Unduplicated
21647,1,Unduplicated
21648,1,Unduplicated
21649,1,Unduplicated
21650,1,Unduplicated
21651,1,Unduplicated
21652,2,Duplicated
21653,2,Duplicated
21654,2,Duplicated
21655,1,Unduplicated
21656,2,Duplicated
21657,1,Unduplicated
21658,1,Unduplicated
21659,1,Unduplicated
21661,1,Unduplicated
21662,1,Unduplicated
21663,1,Unduplicated
21664,1,Unduplicated
21665,1,Unduplicated
21666,2,Duplicated
21667,1,Unduplicated
21668,1,Unduplicated
21669,1,Unduplicated
21670,1,Unduplicated
21671,2,Duplicated
21672,1,Unduplicated
21673,1,Unduplicated
21674,1,Unduplicated
21675,1,Unduplicated
21676,1,Unduplicated
21677,1,Unduplicated
21678,1,Unduplicated
21679,1,Unduplicated
21680,1,Unduplicated
21681,1,Unduplicated
21682,2,Duplicated
21683,1,Unduplicated
21684,1,Unduplicated
21685,1,Unduplicated
21686,1,Unduplicated
21687,1,Unduplicated
21688,2,Duplicated
21689,2,Duplicated
21690,1,Unduplicated
21691,1,Unduplicated
21692,1,Unduplicated
21693,2,Duplicated
21694,1,Unduplicated
21695,1,Unduplicated
21696,1,Unduplicated
21697,1,Unduplicated
21698,1,Unduplicated
21699,1,Unduplicated
21700,3,Duplicated
21701,2,Duplicated
21702,2,Duplicated
21703,1,Unduplicated
21704,1,Unduplicated
21705,1,Unduplicated
21706,2,Duplicated
21707,2,Duplicated
21708,2,Duplicated
21709,2,Duplicated
21710,2,Duplicated
21711,2,Duplicated
21713,1,Unduplicated
21714,1,Unduplicated
21715,1,Unduplicated
21716,1,Unduplicated
21717,1,Unduplicated
21718,1,Unduplicated
21719,1,Unduplicated
21720,1,Unduplicated
21721,1,Unduplicated
21722,1,Unduplicated
21723,1,Unduplicated
21724,1,Unduplicated
21725,1,Unduplicated
21726,1,Unduplicated
21728,1,Unduplicated
21729,1,Unduplicated
21730,1,Unduplicated
21731,1,Unduplicated
21732,1,Unduplicated
21733,2,Duplicated
21734,1,Unduplicated
21735,4,Duplicated
21736,2,Duplicated
21737,1,Unduplicated
21738,1,Unduplicated
21739,1,Unduplicated
21740,1,Unduplicated
21741,1,Unduplicated
21742,1,Unduplicated
21743,1,Unduplicated
21744,2,Duplicated
21745,1,Unduplicated
21746,2,Duplicated
21747,1,Unduplicated
